mode,compiler,trial,cores,batch_size,repetition,wall_time_s,peak_rss_mb
bulk,clang,trial_4,8,75,1,17.8762,347.58
bulk,gcc,trial_4,1,75,1,13.7837,178.87
bulk,clang,trial_4,1,75,1,14.118,51.51
seq,gcc,trial_4,1,-,1,24.1166,200.63
seq,clang,trial_4,2,-,1,17.9516,57.53
seq,gcc,trial_4,2,-,1,24.1377,91.0
seq,clang,trial_4,4,-,1,21.323,159.5
seq,gcc,trial_4,4,-,1,23.989,283.08
seq,clang,trial_4,8,-,1,25.0366,228.66
seq,gcc,trial_4,8,-,1,23.76,738.64
seq,clang,trial_5,1,-,1,20.9445,47.53
bulk,gcc,trial_5,2,25,1,16.9027,115.93
bulk,gcc,trial_5,4,25,1,21.0138,504.88
bulk,clang,trial_5,4,25,1,13.2865,239.61
bulk,clang,trial_5,2,25,1,14.8065,88.97
bulk,gcc,trial_5,1,25,1,15.5984,179.79
bulk,clang,trial_5,1,25,1,12.1692,32.78
bulk,gcc,trial_5,8,25,1,22.177,413.01
bulk,clang,trial_5,8,25,1,18.2559,232.65
bulk,gcc,trial_5,2,5,1,21.485,174.27
bulk,clang,trial_5,2,5,1,19.2482,63.08
bulk,clang,trial_5,4,5,1,15.1283,109.7
bulk,clang,trial_5,1,5,1,14.5647,37.46
bulk,clang,trial_5,8,5,1,19.7202,358.55
bulk,gcc,trial_5,4,5,1,25.806,287.68
bulk,gcc,trial_5,8,5,1,28.609,1442.75
bulk,gcc,trial_5,1,5,1,19.8055,66.18
bulk,clang,trial_5,1,50,1,12.7607,57.9
bulk,clang,trial_5,8,50,1,15.2919,371.38
bulk,gcc,trial_5,8,50,1,21.3168,469.25
bulk,gcc,trial_5,1,50,1,16.6313,201.41
bulk,gcc,trial_5,2,50,1,17.2833,269.74
bulk,clang,trial_5,2,50,1,13.3026,83.48
bulk,clang,trial_5,4,50,1,15.4056,188.54
bulk,gcc,trial_5,4,50,1,19.1945,250.27
bulk,clang,trial_5,2,75,1,14.9655,61.61
bulk,gcc,trial_5,2,75,1,18.2762,479.46
bulk,gcc,trial_5,4,75,1,19.9765,272.86
bulk,gcc,trial_5,8,75,1,18.6437,1213.53
bulk,clang,trial_5,4,75,1,15.2643,220.41
bulk,clang,trial_5,8,75,1,18.594,359.4
bulk,gcc,trial_5,1,75,1,15.4688,103.62
bulk,clang,trial_5,1,75,1,8.5787,35.4
seq,gcc,trial_5,1,-,1,24.1183,127.1
seq,clang,trial_5,2,-,1,20.545,68.73
seq,gcc,trial_5,2,-,1,25.6555,251.16
seq,clang,trial_5,4,-,1,17.9334,127.54
seq,gcc,trial_5,4,-,1,22.5468,638.39
seq,clang,trial_5,8,-,1,21.0501,329.9
seq,gcc,trial_5,8,-,1,28.7817,986.25
seq,clang,trial_6,1,-,1,19.6348,55.8
bulk,gcc,trial_6,2,25,1,16.2986,281.19
bulk,gcc,trial_6,4,25,1,20.2799,258.82
bulk,clang,trial_6,4,25,1,16.5478,133.51
bulk,clang,trial_6,2,25,1,14.7117,86.76
bulk,gcc,trial_6,1,25,1,17.43,233.19
bulk,clang,trial_6,1,25,1,11.9876,29.94
bulk,gcc,trial_6,8,25,1,21.3557,1190.6
bulk,clang,trial_6,8,25,1,17.3795,298.86
bulk,gcc,trial_6,2,5,1,22.5166,92.84
bulk,clang,trial_6,2,5,1,16.3191,59.58
bulk,clang,trial_6,4,5,1,17.2979,105.97
bulk,clang,trial_6,1,5,1,14.5785,40.01
bulk,clang,trial_6,8,5,1,17.3317,297.85
bulk,gcc,trial_6,4,5,1,21.5294,348.68
bulk,gcc,trial_6,8,5,1,22.2921,1025.95
bulk,gcc,trial_6,1,5,1,19.9691,152.58
bulk,clang,trial_6,1,50,1,13.6667,42.73
bulk,clang,trial_6,8,50,1,18.1048,396.51
bulk,gcc,trial_6,8,50,1,22.2907,623.51
bulk,gcc,trial_6,1,50,1,15.2159,191.43
bulk,gcc,trial_6,2,50,1,20.783,127.98
bulk,clang,trial_6,2,50,1,14.8331,90.52
